POI_ID,USE_TYPE,NAME,NAME_LONG,LEVEL_ID,HEIGHT_REL,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,VALIDATION,STATUS
OtherBuildings.DignityHealthArena.L0.114-C-10,Seat,114-C-10,"114-C-10, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-09,Seat,114-C-09,"114-C-09, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-08,Seat,114-C-08,"114-C-08, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-07,Seat,114-C-07,"114-C-07, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-06,Seat,114-C-06,"114-C-06, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-05,Seat,114-C-05,"114-C-05, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-04,Seat,114-C-04,"114-C-04, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-03,Seat,114-C-03,"114-C-03, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-02,Seat,114-C-02,"114-C-02, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-01,Seat,114-C-01,"114-C-01, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-23,Seat,114-D-23,"114-D-23, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-22,Seat,114-D-22,"114-D-22, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-21,Seat,114-D-21,"114-D-21, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-20,Seat,114-D-20,"114-D-20, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-19,Seat,114-D-19,"114-D-19, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-18,Seat,114-D-18,"114-D-18, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-17,Seat,114-D-17,"114-D-17, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-16,Seat,114-D-16,"114-D-16, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-15,Seat,114-D-15,"114-D-15, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-14,Seat,114-D-14,"114-D-14, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-13,Seat,114-D-13,"114-D-13, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-12,Seat,114-D-12,"114-D-12, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-11,Seat,114-D-11,"114-D-11, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-10,Seat,114-D-10,"114-D-10, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-09,Seat,114-D-09,"114-D-09, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-08,Seat,114-D-08,"114-D-08, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-07,Seat,114-D-07,"114-D-07, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-06,Seat,114-D-06,"114-D-06, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-05,Seat,114-D-05,"114-D-05, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-04,Seat,114-D-04,"114-D-04, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-03,Seat,114-D-03,"114-D-03, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-02,Seat,114-D-02,"114-D-02, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-D-01,Seat,114-D-01,"114-D-01, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-23,Seat,114-E-23,"114-E-23, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-22,Seat,114-E-22,"114-E-22, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-21,Seat,114-E-21,"114-E-21, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-20,Seat,114-E-20,"114-E-20, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-19,Seat,114-E-19,"114-E-19, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-18,Seat,114-E-18,"114-E-18, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-17,Seat,114-E-17,"114-E-17, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-16,Seat,114-E-16,"114-E-16, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-15,Seat,114-E-15,"114-E-15, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-14,Seat,114-E-14,"114-E-14, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-13,Seat,114-E-13,"114-E-13, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-12,Seat,114-E-12,"114-E-12, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-11,Seat,114-E-11,"114-E-11, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-10,Seat,114-E-10,"114-E-10, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-09,Seat,114-E-09,"114-E-09, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-08,Seat,114-E-08,"114-E-08, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-07,Seat,114-E-07,"114-E-07, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-06,Seat,114-E-06,"114-E-06, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-05,Seat,114-E-05,"114-E-05, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-04,Seat,114-E-04,"114-E-04, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-03,Seat,114-E-03,"114-E-03, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-02,Seat,114-E-02,"114-E-02, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-E-01,Seat,114-E-01,"114-E-01, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-23,Seat,114-F-23,"114-F-23, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-22,Seat,114-F-22,"114-F-22, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-21,Seat,114-F-21,"114-F-21, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-20,Seat,114-F-20,"114-F-20, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-19,Seat,114-F-19,"114-F-19, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-18,Seat,114-F-18,"114-F-18, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-17,Seat,114-F-17,"114-F-17, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-16,Seat,114-F-16,"114-F-16, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-15,Seat,114-F-15,"114-F-15, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-14,Seat,114-F-14,"114-F-14, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-13,Seat,114-F-13,"114-F-13, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-12,Seat,114-F-12,"114-F-12, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-11,Seat,114-F-11,"114-F-11, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-10,Seat,114-F-10,"114-F-10, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-09,Seat,114-F-09,"114-F-09, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-08,Seat,114-F-08,"114-F-08, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-07,Seat,114-F-07,"114-F-07, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-06,Seat,114-F-06,"114-F-06, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-05,Seat,114-F-05,"114-F-05, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-04,Seat,114-F-04,"114-F-04, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-03,Seat,114-F-03,"114-F-03, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-02,Seat,114-F-02,"114-F-02, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-F-01,Seat,114-F-01,"114-F-01, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.113-A-17,Seat,113-A-17,"113-A-17, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.113-A-16,Seat,113-A-16,"113-A-16, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.113-A-15,Seat,113-A-15,"113-A-15, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.113-A-14,Seat,113-A-14,"113-A-14, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.113-A-13,Seat,113-A-13,"113-A-13, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.113-A-12,Seat,113-A-12,"113-A-12, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.113-A-11,Seat,113-A-11,"113-A-11, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.113-A-10,Seat,113-A-10,"113-A-10, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
