SECTION_ID,NAME,NAME_LONG,LEVEL_ID,AREA_GROSS,HEIGHT_REL,SHAPE_Leng,SHAPE_Area,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,GlobalID
OtherBuildings.DignityHealthArena.L01.S28,S28,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,16.82689729570,15.84998410310,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{AB383039-6BBD-4CF8-80E5-22A94DE69D88}
OtherBuildings.DignityHealthArena.L01.S27,S27,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,16.57789674970,15.47963947390,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{AFAA0E8F-48C4-4EE9-9C67-60A69576792B}
OtherBuildings.DignityHealthArena.L01.S26,S26,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,16.78432792350,15.77314444070,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{123F7CDA-C720-4C2D-A3CF-6590A4C8E548}
OtherBuildings.DignityHealthArena.L02.S13,S13,,OtherBuildings.DignityHealthArena.L02,0.00000000000,0.00000000000,17.64657392170,18.80796419020,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{B724BAA2-B1C9-46DD-B3F6-57C673A83E4C}
OtherBuildings.DignityHealthArena.L02.S14,S14,,OtherBuildings.DignityHealthArena.L02,0.00000000000,0.00000000000,17.57188785330,18.67285638850,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{9AA6861B-30FD-4CFA-8073-6DBCA1846B9B}
OtherBuildings.DignityHealthArena.L02.S15,S15,,OtherBuildings.DignityHealthArena.L02,0.00000000000,0.00000000000,17.60656454710,18.73595366090,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{A7D518DB-E3CD-49C0-9C09-FF5E369E00E0}
OtherBuildings.DignityHealthArena.L02.S16,S16,,OtherBuildings.DignityHealthArena.L02,0.00000000000,0.00000000000,17.55928353280,18.65113236320,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{996F8E47-7D36-48C7-86CF-9362FA561853}
OtherBuildings.DignityHealthArena.L02.S17,S17,,OtherBuildings.DignityHealthArena.L02,0.00000000000,0.00000000000,17.53412859100,18.60533556070,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{3ED0D8EC-A7F8-4A52-89FE-65DA3F2E906B}
OtherBuildings.DignityHealthArena.L02.S18,S18,,OtherBuildings.DignityHealthArena.L02,0.00000000000,0.00000000000,17.63391014280,18.78506848670,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{D2989E8C-A0B0-433E-9EC8-43AAE6324D23}
OtherBuildings.DignityHealthArena.L02.S19,S19,,OtherBuildings.DignityHealthArena.L02,0.00000000000,0.00000000000,17.54012823770,18.61605290260,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{B27EE642-9FE0-41B0-845E-7FB0DD2311FD}
OtherBuildings.DignityHealthArena.L02.S20,S20,,OtherBuildings.DignityHealthArena.L02,0.00000000000,0.00000000000,17.61243596170,18.74637438160,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{E6726995-443B-4DB8-B186-E38E8DFFDDD5}
OtherBuildings.DignityHealthArena.L02.S21,S21,,OtherBuildings.DignityHealthArena.L02,0.00000000000,0.00000000000,17.51724599960,18.57524972680,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{38F5063F-F889-4E28-8E42-62C39E2EAAA7}
