POI_ID,USE_TYPE,NAME,NAME_LONG,LEVEL_ID,SCHEDULE_E,CAPACITY,AREA_ID,ASSIGNMENT,AREA_GROSS,HEIGHT_REL,RESERVATIO,ORG_AREA_I,ALLOCATION,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,VALIDATION,ORIG_FID,CATEGORY_T,SYMBOL_CAT
OtherBuildings.DignityHealthArena.L01.149,FIRST AID,149,"FIRST AID, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,76.40007296330,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,473,Safety + Security,FIRST AID
OtherBuildings.DignityHealthArena.L01.193,DINING,193,"DINING, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,1548.92347508000,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,477,Places + Things,FOOD SERVICE
OtherBuildings.DignityHealthArena.L01.105,RESTROOM,105,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,65.04392034410,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,478,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.108,BREAK ROOM,108,"BREAK ROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,104.25359408100,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,480,Places + Things,BREAK ROOM
OtherBuildings.DignityHealthArena.L01.107,STORAGE,107,"STORAGE, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,39.76979998250,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,492,Places + Things,STORAGE
OtherBuildings.DignityHealthArena.L01.110,STORAGE,110,"STORAGE, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,366.07548235000,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,494,Places + Things,STORAGE
OtherBuildings.DignityHealthArena.L01.101,LOBBY,101,"LOBBY, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,351.63518707300,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,495,Places + Things,RECEPTION AND WAITING
OtherBuildings.DignityHealthArena.L01.130,JANITOR CLOSET,130,"JANITOR CLOSET, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,43.94283976760,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,497,Places + Things,STORAGE
OtherBuildings.DignityHealthArena.L01.1-LO3,LOBBY,1-LO3,"LOBBY, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,321.87095857400,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,499,Places + Things,RECEPTION AND WAITING
OtherBuildings.DignityHealthArena.L01.S-S,STAIR,S-S,"STAIR, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,133.30111009800,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,500,Places + Things,STAIRS
