DELAY,FACILITY_I,FACILITY_N,LENGTH_3D,LEVEL_NAME,LEVEL_NA_1,PATHWAY_RA,PATHWAY_TY,TRAVEL_DIR,VERTICAL_O,LEVEL_ID,SHAPE_Leng
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22510055513,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22510055513
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499644248,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499644248
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500488688,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500488688
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22519627147,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22519627147
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064258,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064258
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499644256,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499644256
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064994,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064994
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22510055505,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22510055505
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064258,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064258
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499644256,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499644256
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064250,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064250
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22510055513,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22510055513
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500065002,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500065002
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22509635690,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22509635690
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499228690,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499228690
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500917571,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500917571
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499229435,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499229435
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064250,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064250
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22509635698,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22509635698
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500917571,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500917571
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22519211943,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22519211943
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064250,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064250
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064258,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064258
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22510055513,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22510055513
